message,es,percentage_es,en,percentage_en,comments
"AGENT=;AGENT-MOD=;AAL=;E=PRESENT,PROG",det noun:animate adj:animate prep:with det noun:inanimate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,0,det adj:animate noun:animate prep:with det noun:inanimate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,0,with-structure
"AGENT=;AGENT-MOD=;AAL=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,2.1,det adj:animate noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,2.6,
"AGENT=;AAL=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,2.6,det noun:animate aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,3,no adj
"AGENT=pron;AAL=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,2.3,pron aux::present:prog:singular verb_prefix:intrans participle_suffix:::prog,2.8,pron
"AGENT=;AAL=;PATIENT=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,2.6,det noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,3,no adj
"AGENT=pron;AAL=;PATIENT=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,2.3,pron aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,2.8,pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,2.1,det adj:animate noun:animate aux::present:prog:singular verb_prefix:trans participle_suffix:::prog det noun:inanimate,2.6,
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,2.1,det adj:animate noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,2.6,
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,2.6,det noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,3,no adj
"AGENT=pron;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,2.3,pron aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:inanimate prep:to det noun:animate,2.8,pron
"AGENT=;AGENT-MOD=;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PROG",det noun:animate adj:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog prep:to det noun:animate det noun:inanimate,2.1,det adj:animate noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:animate det noun:inanimate,2.6,
"AGENT=;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PROG",det noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog prep:to det noun:animate det noun:inanimate,2.6,det noun:animate aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:animate det noun:inanimate,2.9,no adj
"AGENT=pron;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PROG",pron aux::present:prog:singular verb_prefix:double participle_suffix:::prog prep:to det noun:animate det noun:inanimate,2.3,pron aux::present:prog:singular verb_prefix:double participle_suffix:::prog det noun:animate det noun:inanimate,2.8,pron
"AGENT=;AGENT-MOD=;AAL=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,1.8,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,1.3,
"AGENT=;AAL=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,2.4,det noun:animate aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,1.7,
"AGENT=pron;AAL=;E=PRESENT,PERFECT",pron aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,1.8,pron aux::present:perfect:singular verb_prefix:intrans participle_suffix:::perfect,1.5,
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,1.8,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,1.3,
"AGENT=;AAL=;PATIENT=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,2.4,det noun:animate aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,1.7,
"AGENT=pron;AAL=;PATIENT=;E=PRESENT,PERFECT",pron aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,1.8,pron aux::present:perfect:singular verb_prefix:trans participle_suffix:::perfect det noun:inanimate,1.5,
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,1.8,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,1.3,
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,2.4,det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,1.7,
"AGENT=pron;AAL=;PATIENT=;RECIPIENT=;E=PRESENT,PERFECT",pron aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,1.8,pron aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:inanimate prep:to det noun:animate,1.5,
"AGENT=;AGENT-MOD=;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PERFECT",det noun:animate adj:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect prep:to det noun:animate det noun:inanimate,1.6,det adj:animate noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:animate det noun:inanimate,1.3,present perfect double receipient first adj
"AGENT=;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect prep:to det noun:animate det noun:inanimate,2.4,det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:animate det noun:inanimate,1.7,present perfect double receipient first
"AGENT=;AGENT-MOD=;AAL=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:intrans verb_suffix::present,2.4,det adj:animate noun:animate verb_prefix:intrans verb_suffix::present,2.4,simple_present_intransitive_adj
"AGENT=;AAL=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:intrans verb_suffix::present,2.5,det noun:animate verb_prefix:intrans verb_suffix::present,2.5,simple_present_intransitive
"AGENT=pron;AAL=;E=SIMPLE,PRESENT",pron verb_prefix:intrans verb_suffix::present,2.4,pron verb_prefix:intrans verb_suffix::present,2.4,simple_present_intransitive_pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,det adj:animate noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,simple_present_transitive_adj
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.6,det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,2.6,simple_present_transitive
"AGENT=pron;AAL=;PATIENT=;E=SIMPLE,PRESENT",pron verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,pron verb_prefix:trans verb_suffix::present det noun:inanimate,2.4,simple_present_transitive_pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,det adj:animate noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,simple_present_double_adj
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,det noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,simple_present_double
"AGENT=pron;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",pron verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,pron verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,2.1,simple_present_double_pron
"AGENT=;AGENT-MOD=;AAL=;RECIPIENT=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:double verb_suffix::present prep:to det noun:animate det noun:inanimate,2.1,det adj:animate noun:animate verb_prefix:double verb_suffix::present det noun:animate det noun:inanimate,2.1,simple_present_double_RECIPIENT_first
"AGENT=;AAL=;RECIPIENT=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:double verb_suffix::present prep:to det noun:animate det noun:inanimate,2.1,det noun:animate verb_prefix:double verb_suffix::present det noun:animate det noun:inanimate,2.1,simple_present_double_noadj_RECIPIENT_first
"AGENT=;AAL=;ATTR=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:copular:present adj:animate,2.8,det noun:animate verb_prefix:copular:present adj:animate,2.8,be_attr_simple_present
"AGENT=;AGENT-MOD=;AAL=;ATTR=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:copular:present adj:animate,2.8,det adj:animate noun:animate verb_prefix:copular:present adj:animate,2.8,be_attr_simple_present
"AGENT=pron;AAL=;ATTR=;E=SIMPLE,PRESENT",pron verb_prefix:copular:present adj:animate,2.8,pron verb_prefix:copular:present adj:animate,2.8,be_attr_pron simple present
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:possession:present det noun:inanimate,2.8,det noun:animate verb_prefix:possession:present det noun:inanimate,2.8,has simple present
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:possession:present det noun:inanimate,2.8,det adj:animate noun:animate verb_prefix:possession:present det noun:inanimate,2.8,
"AGENT=pron;AAL=;PATIENT=;E=SIMPLE,PRESENT",pron verb_prefix:possession:present det noun:inanimate,2.8,pron verb_prefix:possession:present det noun:inanimate,2.8,has_pron simple present
"AGENT=;AGENT-MOD=;AAL=;E=SIMPLE,PAST",det noun:animate adj:animate verb_prefix:intrans verb_suffix::past,2,det adj:animate noun:animate verb_prefix:intrans verb_suffix::past,2,simple_past_intransitive adj
"AGENT=;AAL=;E=SIMPLE,PAST",det noun:animate verb_prefix:intrans verb_suffix::past,2,det noun:animate verb_prefix:intrans verb_suffix::past,2,simple_past intransitive
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PAST",det noun:animate verb_prefix:trans verb_suffix::past det noun:inanimate,2,det noun:animate verb_prefix:trans verb_suffix::past det noun:inanimate,2,simple_past_transitive
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PAST",det noun:animate verb_prefix:double verb_suffix::past det noun:inanimate prep:to det noun:animate,2,det noun:animate verb_prefix:double verb_suffix::past det noun:inanimate prep:to det noun:animate,2,simple_past_double
